sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_poll 0 666 0xc00 135 40.9 43.2 62.3 153.1 222.9 334.1 50052.3 50000 20 2244.57 1607461 150634793 2001928 78073662 825598016408 580441479558 844972521123 276194870 0 0 0 0 0 298090
ebbrt_poll 1 666 0xc00 135 42.0 44.2 63.7 155.0 227.7 335.9 49881.9 50000 20 2247.03 1487894 139312456 1848404 72087130 768516823970 581162654414 845396335301 339125861 0 0 0 0 0 298238
ebbrt_poll 0 666 0xc00 135 41.6 44.4 72.5 213.5 295.8 427.7 100054.4 100000 20 2262.87 2294618 245999804 4001410 156046560 840582363820 582463301202 848066550437 364918347 0 0 0 0 0 296264
ebbrt_poll 1 666 0xc00 135 41.9 44.7 72.8 218.0 297.0 424.3 100071.4 100000 20 2264.93 2285316 245428792 4002067 156071778 840758714921 582088784519 847575488333 363036265 0 0 0 0 0 296240
ebbrt_poll 0 666 0xd00 135 40.8 43.2 60.8 143.4 201.9 305.5 49966.1 50000 20 2283.52 1619052 151245946 1998419 77936452 837776858033 596756664672 846211801149 300158498 0 0 0 0 0 298349
ebbrt_poll 1 666 0xd00 135 41.1 43.3 61.2 146.2 205.0 306.3 49930.0 50000 20 2288.25 1620265 151266417 1997021 77882334 836149390464 598071818993 847415449281 304348114 0 0 0 0 0 298371
ebbrt_poll 0 666 0xd00 135 41.4 44.1 68.0 188.5 262.8 366.9 99986.5 100000 20 2301.57 2292311 245783860 3998668 155939570 863481498652 597359025413 847012642239 366340196 0 0 0 0 0 296674
ebbrt_poll 1 666 0xd00 135 41.7 44.5 68.1 187.8 261.0 367.5 99929.7 100000 20 2301.89 2299602 246180759 3996397 155849966 863264170023 597961994160 847515467323 366337116 0 0 0 0 0 296687
ebbrt_poll 0 666 0xf00 135 40.2 42.4 59.0 134.7 181.3 268.8 50078.6 50000 20 2369.15 1642347 152760949 2002975 78114180 877704449345 628682563740 846784316945 316329881 0 0 0 0 0 298694
ebbrt_poll 1 666 0xf00 135 40.2 42.5 58.6 133.3 180.6 268.4 50056.1 50000 20 2370.01 1644338 152871119 2002000 78075738 871582636323 627303488496 845454905847 323330921 0 0 0 0 0 298678
ebbrt_poll 0 666 0xf00 135 41.6 43.9 65.2 169.1 226.4 316.0 99832.2 100000 20 2385.85 2315309 247025447 3992497 155699068 911964655508 629230015995 847007443757 370277281 0 0 0 0 0 297402
ebbrt_poll 1 666 0xf00 135 41.3 43.6 64.5 168.2 226.6 313.6 99967.2 100000 20 2385.09 2316383 247221796 3997931 155910474 907783508976 628287925345 846589559673 374884681 0 0 0 0 0 297385
ebbrt_poll 0 666 0x1100 135 40.3 42.2 57.1 123.5 163.1 235.6 50048.5 50000 20 2463.61 1539751 142632307 1855731 72372430 926704956410 660285050580 846878484469 313538326 0 0 0 0 0 299001
ebbrt_poll 1 666 0x1100 135 39.7 41.7 56.6 121.4 160.2 234.2 49973.4 50000 20 2465.07 1655321 153439792 1998742 77949198 913761559573 658800139733 845323448615 333361429 0 0 0 0 0 298952
